1781849220,3AC,1211378.9,1248831.0,169724.2,154118.9,38301.7,44064.2,46098.6,74172.8,105162.9,0.0,26.4,20.3,35,22.6,37.9,1325,9060,10451,12609,15861,16143,16273,11407,49359,2586
1781849521,3AC,1119228.4,1157441.6,159116.6,145514.4,36526.1,41774.6,44505.1,72732.4,105049.5,0.0,26.5,21.3,59,22.7,38.5,1326,9061,10452,12607,15855,16139,16268,11403,49341,2586
1781851021,3AC,1013926.7,1042178.8,146901.9,134058.8,34031.3,38641.4,42289.6,70570.3,104444.4,0.0,26.8,23.7,53,23.0,40.6,1328,9077,10473,12626,15870,16157,16287,11417,49407,2590
1781853121,3AC,990209.5,1007661.0,143711.4,130661.8,33002.5,37367.0,41492.6,70243.0,103678.9,0.0,27.0,25.3,32,23.2,42.1,1330,9092,10494,12641,15887,16175,16307,11430,49478,2593
1781853719,3AC,985232.8,1002831.9,143066.4,130286.3,32941.8,37210.0,41387.4,70636.3,103486.0,0.0,27.1,25.6,12,23.3,42.5,1331,9096,10502,12647,15894,16181,16313,11434,49501,2592
1781857921,3AC,981262.6,988311.6,142760.3,129947.6,32891.0,36898.6,41145.1,71291.6,102428.7,0.0,27.3,27.3,26,23.5,44.1,1334,9119,10532,12676,15923,16210,16344,11457,49606,2596
1781868719,3AC,1097053.5,1107749.5,156455.1,144476.5,36186.8,40383.2,42359.8,74134.1,101217.0,0.0,27.3,29.5,12,23.5,46.4,1339,9160,10580,12733,15977,16264,16403,11498,49806,2605
1781871418,3AC,1141041.5,1150002.6,161984.0,148892.7,37302.1,41752.0,42836.8,75139.3,101097.9,0.0,27.3,29.9,7,23.5,46.8,1341,9166,10589,12744,15985,16270,16410,11502,49831,2609
1781890618,3AC,1452158.5,1472996.9,199026.2,184295.9,45351.5,50613.2,48818.7,84107.7,100883.5,0.0,27.3,31.4,31,23.5,48.4,1348,9217,10649,12815,16059,16342,16485,11556,50078,2622
1781893019,3AC,1478399.1,1506817.0,203706.2,188354.5,46289.0,51827.8,49716.5,85672.6,100856.9,0.0,27.2,31.6,25,23.5,48.5,1348,9218,10653,12819,16060,16344,16489,11558,50082,2621
